,SUBJECT,LABEL,DICE,HDRFDST,DICE comb,HDRFDST comb
0,117122,Amygdala,0.4422210203713719,22.11334438749598,0.3847000954408633,16.30950643030009
1,117122,GreyMatter,0.7078907940370626,2.23606797749979,1.0,inf
2,117122,Hippocampus,0.3948641786039381,18.708286933869708,0.7024692514428584,5.0
3,117122,Thalamus,0.7160629345042079,9.055385138137416,1.0,inf
4,117122,WhiteMatter,0.8141610804285339,2.8284271247461903,0.3842349026485004,18.411952639521967
5,117122-PP,Amygdala,0.4422210203713719,22.11334438749598,1.0,inf
6,117122-PP,GreyMatter,0.7078907940370626,2.23606797749979,0.6366432504271882,20.223748416156685
7,117122-PP,Hippocampus,0.3948641786039381,18.708286933869708,1.0,inf
8,117122-PP,Thalamus,0.7160629345042079,9.055385138137416,0.78947913395517,3.0
9,117122-PP,WhiteMatter,0.8141610804285339,2.8284271247461903,1.0,inf
10,118528,Amygdala,0.3653877026810082,20.63976744055029,0.3847000954408633,16.30950643030009
11,118528,GreyMatter,0.7059591890272604,4.0,1.0,inf
12,118528,Hippocampus,0.3738430583501006,19.33907960581372,0.7024692514428584,5.0
13,118528,Thalamus,0.6953524714747501,8.660254037844387,1.0,inf
14,118528,WhiteMatter,0.8239914794046433,2.8284271247461903,0.3842349026485004,18.411952639521967
15,118528-PP,Amygdala,0.3653877026810082,20.63976744055029,1.0,inf
16,118528-PP,GreyMatter,0.7059591890272604,4.0,0.6366432504271882,20.223748416156685
17,118528-PP,Hippocampus,0.3738430583501006,19.33907960581372,1.0,inf
18,118528-PP,Thalamus,0.6953524714747501,8.660254037844387,0.78947913395517,3.0
19,118528-PP,WhiteMatter,0.8239914794046433,2.8284271247461903,1.0,inf
20,118730,Amygdala,0.479832878033103,20.71231517720798,0.3508059054584857,15.84297951775486
21,118730,GreyMatter,0.7162342201246623,2.23606797749979,1.0,inf
22,118730,Hippocampus,0.3518458091322413,18.49324200890693,0.6991246026628204,6.324555320336759
23,118730,Thalamus,0.7138307753549471,9.0,1.0,inf
24,118730,WhiteMatter,0.8115870922309222,2.23606797749979,0.3544387380777696,20.46948949045872
25,118730-PP,Amygdala,0.479832878033103,20.71231517720798,1.0,inf
26,118730-PP,GreyMatter,0.7162342201246623,2.23606797749979,0.6165664777718449,32.202484376209235
27,118730-PP,Hippocampus,0.3518458091322413,18.49324200890693,1.0,inf
28,118730-PP,Thalamus,0.7138307753549471,9.0,0.7989266417666896,2.449489742783178
29,118730-PP,WhiteMatter,0.8115870922309222,2.23606797749979,1.0,inf
30,118932,Amygdala,0.4508210047146805,20.14944167960989,0.3508059054584857,15.84297951775486
31,118932,GreyMatter,0.7210813172891698,2.449489742783178,1.0,inf
32,118932,Hippocampus,0.3530745491570969,18.466185312619388,0.6991246026628204,6.324555320336759
33,118932,Thalamus,0.7182952182952183,10.488088481701515,1.0,inf
34,118932,WhiteMatter,0.8309020036586063,2.449489742783178,0.3544387380777696,20.46948949045872
35,118932-PP,Amygdala,0.4508210047146805,20.14944167960989,1.0,inf
36,118932-PP,GreyMatter,0.7210813172891698,2.449489742783178,0.6165664777718449,32.202484376209235
37,118932-PP,Hippocampus,0.3530745491570969,18.466185312619388,1.0,inf
38,118932-PP,Thalamus,0.7182952182952183,10.488088481701515,0.7989266417666896,2.449489742783178
39,118932-PP,WhiteMatter,0.8309020036586063,2.449489742783178,1.0,inf
40,120111,Amygdala,0.4216490234083793,16.881943016134134,0.4369052544476624,16.911534525287763
41,120111,GreyMatter,0.7035303994344291,2.449489742783178,1.0,inf
42,120111,Hippocampus,0.3541986015160742,18.547236990991408,0.7108471457727751,4.242640687119285
43,120111,Thalamus,0.6758030871923237,11.04536101718726,1.0,inf
44,120111,WhiteMatter,0.8464859255677124,2.23606797749979,0.338478067728672,20.63976744055029
45,120111-PP,Amygdala,0.4216490234083793,16.881943016134134,1.0,inf
46,120111-PP,GreyMatter,0.7035303994344291,2.449489742783178,0.6048278220798157,22.84731931759173
47,120111-PP,Hippocampus,0.3541986015160742,18.547236990991408,1.0,inf
48,120111-PP,Thalamus,0.6758030871923237,11.04536101718726,0.7821181508729549,2.8284271247461903
49,120111-PP,WhiteMatter,0.8464859255677124,2.23606797749979,1.0,inf
50,122317,Amygdala,0.5160385626643296,20.54263858417414,0.4369052544476624,16.911534525287763
51,122317,GreyMatter,0.7215462369561331,2.23606797749979,1.0,inf
52,122317,Hippocampus,0.3722956655961361,18.027756377319943,0.7108471457727751,4.242640687119285
53,122317,Thalamus,0.7314396998052534,8.602325267042627,1.0,inf
54,122317,WhiteMatter,0.8318168780949682,2.8284271247461903,0.338478067728672,20.63976744055029
55,122317-PP,Amygdala,0.5160385626643296,20.54263858417414,1.0,inf
56,122317-PP,GreyMatter,0.7215462369561331,2.23606797749979,0.6048278220798157,22.84731931759173
57,122317-PP,Hippocampus,0.3722956655961361,18.027756377319943,1.0,inf
58,122317-PP,Thalamus,0.7314396998052534,8.602325267042627,0.7821181508729549,2.8284271247461903
59,122317-PP,WhiteMatter,0.8318168780949682,2.8284271247461903,1.0,inf
60,122620,Amygdala,0.496131606808372,20.09975124224178,0.415615872337394,15.652475842498529
61,122620,GreyMatter,0.72277269921317,3.605551275463989,1.0,inf
62,122620,Hippocampus,0.3747801732560412,18.601075237738275,0.714313022825263,5.830951894845301
63,122620,Thalamus,0.7300634116829864,7.483314773547883,1.0,inf
64,122620,WhiteMatter,0.8036251263974598,2.8284271247461903,0.3398844842200713,20.12461179749811
65,122620-PP,Amygdala,0.496131606808372,20.09975124224178,1.0,inf
