,SUBJECT comb,LABEL comb,DICE comb,HDRFDST comb
111,122317-PP,Amygdala,1.0,inf
112,122317-PP,GreyMatter,0.7157524351694249,4.47213595499958
113,122317-PP,GreyMatter,1.0,inf
114,122317-PP,Hippocampus,0.3413890300817891,23.280893453645632
115,122317-PP,Hippocampus,1.0,inf
116,122317-PP,Thalamus,0.6161168365094901,29.563490998188964
117,122317-PP,Thalamus,1.0,inf
118,122317-PP,WhiteMatter,0.8067425020027521,3.0
119,122317-PP,WhiteMatter,1.0,inf
120,122620,Amygdala,0.4606849315068493,17.146428199482248
121,122620,Amygdala,1.0,inf
122,122620,GreyMatter,0.717198034186477,6.0
123,122620,GreyMatter,1.0,inf
124,122620,Hippocampus,0.3618605786839213,21.095023109728988
125,122620,Hippocampus,1.0,inf
126,122620,Thalamus,0.6421458979724367,30.03331483536241
127,122620,Thalamus,1.0,inf
128,122620,WhiteMatter,0.7773000440173864,3.0
129,122620,WhiteMatter,1.0,inf
130,122620-PP,Amygdala,0.4606849315068493,17.146428199482248
131,122620-PP,Amygdala,1.0,inf
132,122620-PP,GreyMatter,0.717198034186477,6.0
133,122620-PP,GreyMatter,1.0,inf
134,122620-PP,Hippocampus,0.3618605786839213,21.095023109728988
135,122620-PP,Hippocampus,1.0,inf
136,122620-PP,Thalamus,0.6421458979724367,30.03331483536241
137,122620-PP,Thalamus,1.0,inf
138,122620-PP,WhiteMatter,0.7773000440173864,3.0
139,122620-PP,WhiteMatter,1.0,inf
140,123117,Amygdala,0.4068951136442622,15.264337522473747
141,123117,Amygdala,1.0,inf
142,123117,GreyMatter,0.6994461300145711,6.708203932499369
143,123117,GreyMatter,1.0,inf
144,123117,Hippocampus,0.3389124566139607,20.92844953645635
145,123117,Hippocampus,1.0,inf
146,123117,Thalamus,0.6081210663040256,31.016124838541646
147,123117,Thalamus,1.0,inf
148,123117,WhiteMatter,0.8182720838195118,3.1622776601683795
149,123117,WhiteMatter,1.0,inf
150,123117-PP,Amygdala,0.4068951136442622,15.264337522473747
151,123117-PP,Amygdala,1.0,inf
152,123117-PP,GreyMatter,0.6994461300145711,6.708203932499369
153,123117-PP,GreyMatter,1.0,inf
154,123117-PP,Hippocampus,0.3389124566139607,20.92844953645635
155,123117-PP,Hippocampus,1.0,inf
156,123117-PP,Thalamus,0.6081210663040256,31.016124838541646
157,123117-PP,Thalamus,1.0,inf
158,123117-PP,WhiteMatter,0.8182720838195118,3.1622776601683795
159,123117-PP,WhiteMatter,1.0,inf
160,123925,Amygdala,0.4320206956021845,14.0356688476182
161,123925,Amygdala,1.0,inf
162,123925,GreyMatter,0.6948287676116326,5.0990195135927845
163,123925,GreyMatter,1.0,inf
164,123925,Hippocampus,0.340045766590389,22.93468988235943
165,123925,Hippocampus,1.0,inf
166,123925,Thalamus,0.6442717645440792,26.476404589747453
167,123925,Thalamus,1.0,inf
168,123925,WhiteMatter,0.7998706223658285,3.0
169,123925,WhiteMatter,1.0,inf
170,123925-PP,Amygdala,0.4320206956021845,14.0356688476182
171,123925-PP,Amygdala,1.0,inf
172,123925-PP,GreyMatter,0.6948287676116326,5.0990195135927845
173,123925-PP,GreyMatter,1.0,inf
174,123925-PP,Hippocampus,0.340045766590389,22.93468988235943
175,123925-PP,Hippocampus,1.0,inf
176,123925-PP,Thalamus,0.6442717645440792,26.476404589747453
177,123925-PP,Thalamus,1.0,inf
178,123925-PP,WhiteMatter,0.7998706223658285,3.0
179,123925-PP,WhiteMatter,1.0,inf
180,124422,Amygdala,0.4887233322045378,14.45683229480096
181,124422,Amygdala,1.0,inf
182,124422,GreyMatter,0.6929340527961516,4.47213595499958
183,124422,GreyMatter,1.0,inf
184,124422,Hippocampus,0.3669876203576341,20.73644135332772
185,124422,Hippocampus,1.0,inf
186,124422,Thalamus,0.6739550824254724,30.265491900843116
187,124422,Thalamus,1.0,inf
188,124422,WhiteMatter,0.7501315762883274,3.1622776601683795
189,124422,WhiteMatter,1.0,inf
190,124422-PP,Amygdala,0.4887233322045378,14.45683229480096
191,124422-PP,Amygdala,1.0,inf
192,124422-PP,GreyMatter,0.6929340527961516,4.47213595499958
193,124422-PP,GreyMatter,1.0,inf
194,124422-PP,Hippocampus,0.3669876203576341,20.73644135332772
195,124422-PP,Hippocampus,1.0,inf
196,124422-PP,Thalamus,0.6739550824254724,30.265491900843116
197,124422-PP,Thalamus,1.0,inf
198,124422-PP,WhiteMatter,0.7501315762883274,3.1622776601683795
199,124422-PP,WhiteMatter,1.0,inf
