SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.4422210203713719;22.11334438749598
117122;GreyMatter;0.7078907940370626;2.23606797749979
117122;Hippocampus;0.3948641786039381;18.708286933869708
117122;Thalamus;0.7160629345042079;9.055385138137417
117122;WhiteMatter;0.8141610804285339;2.8284271247461903
117122-PP;Amygdala;0.4422210203713719;22.11334438749598
117122-PP;GreyMatter;0.7078907940370626;2.23606797749979
117122-PP;Hippocampus;0.3948641786039381;18.708286933869708
117122-PP;Thalamus;0.7160629345042079;9.055385138137417
117122-PP;WhiteMatter;0.8141610804285339;2.8284271247461903
118528;Amygdala;0.3653877026810082;20.639767440550294
118528;GreyMatter;0.7059591890272604;4.0
118528;Hippocampus;0.3738430583501006;19.339079605813716
118528;Thalamus;0.6953524714747501;8.660254037844387
118528;WhiteMatter;0.8239914794046433;2.8284271247461903
118528-PP;Amygdala;0.3653877026810082;20.639767440550294
118528-PP;GreyMatter;0.7059591890272604;4.0
118528-PP;Hippocampus;0.3738430583501006;19.339079605813716
118528-PP;Thalamus;0.6953524714747501;8.660254037844387
118528-PP;WhiteMatter;0.8239914794046433;2.8284271247461903
118730;Amygdala;0.479832878033103;20.71231517720798
118730;GreyMatter;0.7162342201246623;2.23606797749979
118730;Hippocampus;0.3518458091322413;18.49324200890693
118730;Thalamus;0.7138307753549471;9.0
118730;WhiteMatter;0.8115870922309222;2.23606797749979
118730-PP;Amygdala;0.479832878033103;20.71231517720798
118730-PP;GreyMatter;0.7162342201246623;2.23606797749979
118730-PP;Hippocampus;0.3518458091322413;18.49324200890693
118730-PP;Thalamus;0.7138307753549471;9.0
118730-PP;WhiteMatter;0.8115870922309222;2.23606797749979
118932;Amygdala;0.45082100471468056;20.149441679609886
118932;GreyMatter;0.7210813172891698;2.449489742783178
118932;Hippocampus;0.35307454915709696;18.466185312619388
118932;Thalamus;0.7182952182952183;10.488088481701515
118932;WhiteMatter;0.8309020036586063;2.449489742783178
118932-PP;Amygdala;0.45082100471468056;20.149441679609886
118932-PP;GreyMatter;0.7210813172891698;2.449489742783178
118932-PP;Hippocampus;0.35307454915709696;18.466185312619388
118932-PP;Thalamus;0.7182952182952183;10.488088481701515
118932-PP;WhiteMatter;0.8309020036586063;2.449489742783178
120111;Amygdala;0.4216490234083793;16.881943016134134
120111;GreyMatter;0.7035303994344291;2.449489742783178
120111;Hippocampus;0.3541986015160742;18.547236990991408
120111;Thalamus;0.6758030871923237;11.045361017187261
120111;WhiteMatter;0.8464859255677124;2.23606797749979
120111-PP;Amygdala;0.4216490234083793;16.881943016134134
120111-PP;GreyMatter;0.7035303994344291;2.449489742783178
120111-PP;Hippocampus;0.3541986015160742;18.547236990991408
120111-PP;Thalamus;0.6758030871923237;11.045361017187261
120111-PP;WhiteMatter;0.8464859255677124;2.23606797749979
122317;Amygdala;0.5160385626643296;20.54263858417414
122317;GreyMatter;0.7215462369561331;2.23606797749979
122317;Hippocampus;0.37229566559613614;18.027756377319946
122317;Thalamus;0.7314396998052534;8.602325267042627
122317;WhiteMatter;0.8318168780949682;2.8284271247461903
122317-PP;Amygdala;0.5160385626643296;20.54263858417414
122317-PP;GreyMatter;0.7215462369561331;2.23606797749979
122317-PP;Hippocampus;0.37229566559613614;18.027756377319946
122317-PP;Thalamus;0.7314396998052534;8.602325267042627
122317-PP;WhiteMatter;0.8318168780949682;2.8284271247461903
122620;Amygdala;0.49613160680837204;20.09975124224178
122620;GreyMatter;0.72277269921317;3.605551275463989
122620;Hippocampus;0.3747801732560412;18.601075237738275
122620;Thalamus;0.7300634116829864;7.483314773547883
122620;WhiteMatter;0.8036251263974598;2.8284271247461903
122620-PP;Amygdala;0.49613160680837204;20.09975124224178
122620-PP;GreyMatter;0.72277269921317;3.605551275463989
122620-PP;Hippocampus;0.3747801732560412;18.601075237738275
122620-PP;Thalamus;0.7300634116829864;7.483314773547883
122620-PP;WhiteMatter;0.8036251263974598;2.8284271247461903
123117;Amygdala;0.42856015779092704;20.73644135332772
123117;GreyMatter;0.7091484127913787;3.605551275463989
123117;Hippocampus;0.356999246041719;18.867962264113206
123117;Thalamus;0.6949750473240406;12.083045973594572
123117;WhiteMatter;0.8422982715912708;3.1622776601683795
123117-PP;Amygdala;0.42856015779092704;20.73644135332772
123117-PP;GreyMatter;0.7091484127913787;3.605551275463989
123117-PP;Hippocampus;0.356999246041719;18.867962264113206
123117-PP;Thalamus;0.6949750473240406;12.083045973594572
123117-PP;WhiteMatter;0.8422982715912708;3.1622776601683795
123925;Amygdala;0.4778389719381065;18.81488772222678
123925;GreyMatter;0.7041479463617702;2.23606797749979
123925;Hippocampus;0.38304125159366426;19.87460691435179
123925;Thalamus;0.7473754934072394;8.246211251235321
123925;WhiteMatter;0.8271554116039813;3.0
123925-PP;Amygdala;0.4778389719381065;18.81488772222678
123925-PP;GreyMatter;0.7041479463617702;2.23606797749979
123925-PP;Hippocampus;0.38304125159366426;19.87460691435179
123925-PP;Thalamus;0.7473754934072394;8.246211251235321
123925-PP;WhiteMatter;0.8271554116039813;3.0
124422;Amygdala;0.5614577401773367;20.615528128088304
124422;GreyMatter;0.6999918209329589;2.449489742783178
124422;Hippocampus;0.3850746268656716;18.0
124422;Thalamus;0.7633339442815249;10.0
124422;WhiteMatter;0.7781046548543086;3.0
124422-PP;Amygdala;0.5614577401773367;20.615528128088304
124422-PP;GreyMatter;0.6999918209329589;2.449489742783178
124422-PP;Hippocampus;0.3850746268656716;18.0
124422-PP;Thalamus;0.7633339442815249;10.0
