SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.38470009544086337;16.30950643030009
117122;Hippocampus;0.3842349026485004;18.411952639521967
117122;Thalamus;0.6366432504271882;20.223748416156685
117122-PP;Amygdala;0.38470009544086337;16.30950643030009
117122-PP;Hippocampus;0.3842349026485004;18.411952639521967
117122-PP;Thalamus;0.6366432504271882;20.223748416156685
118528;Amygdala;0.3508059054584857;15.84297951775486
118528;Hippocampus;0.3544387380777696;20.46948949045872
118528;Thalamus;0.6165664777718449;32.202484376209235
118528-PP;Amygdala;0.3508059054584857;15.84297951775486
118528-PP;Hippocampus;0.3544387380777696;20.46948949045872
118528-PP;Thalamus;0.6165664777718449;32.202484376209235
118730;Amygdala;0.4369052544476624;16.911534525287763
118730;Hippocampus;0.33847806772867206;20.639767440550294
118730;Thalamus;0.6048278220798157;22.847319317591726
118730-PP;Amygdala;0.4369052544476624;16.911534525287763
118730-PP;Hippocampus;0.33847806772867206;20.639767440550294
118730-PP;Thalamus;0.6048278220798157;22.847319317591726
118932;Amygdala;0.41561587233739405;15.652475842498529
118932;Hippocampus;0.33988448422007134;20.12461179749811
118932;Thalamus;0.6447850074437341;35.45419580247167
118932-PP;Amygdala;0.41561587233739405;15.652475842498529
118932-PP;Hippocampus;0.33988448422007134;20.12461179749811
118932-PP;Thalamus;0.6447850074437341;35.45419580247167
120111;Amygdala;0.4133113673805601;14.45683229480096
120111;Hippocampus;0.3381384588004983;21.307275752662516
120111;Thalamus;0.5990852875177718;22.40535650240808
120111-PP;Amygdala;0.4133113673805601;14.45683229480096
120111-PP;Hippocampus;0.3381384588004983;21.307275752662516
120111-PP;Thalamus;0.5990852875177718;22.40535650240808
122317;Amygdala;0.44906658826988094;16.30950643030009
122317;Hippocampus;0.34138903008178917;23.280893453645632
122317;Thalamus;0.6161168365094901;29.563490998188964
122317-PP;Amygdala;0.44906658826988094;16.30950643030009
122317-PP;Hippocampus;0.34138903008178917;23.280893453645632
122317-PP;Thalamus;0.6161168365094901;29.563490998188964
122620;Amygdala;0.4606849315068493;17.146428199482248
122620;Hippocampus;0.36186057868392135;21.095023109728988
122620;Thalamus;0.6421458979724367;30.033314835362415
122620-PP;Amygdala;0.4606849315068493;17.146428199482248
122620-PP;Hippocampus;0.36186057868392135;21.095023109728988
122620-PP;Thalamus;0.6421458979724367;30.033314835362415
123117;Amygdala;0.4068951136442622;15.264337522473747
123117;Hippocampus;0.3389124566139607;20.92844953645635
123117;Thalamus;0.6081210663040256;31.016124838541646
123117-PP;Amygdala;0.4068951136442622;15.264337522473747
123117-PP;Hippocampus;0.3389124566139607;20.92844953645635
123117-PP;Thalamus;0.6081210663040256;31.016124838541646
123925;Amygdala;0.43202069560218453;14.035668847618199
123925;Hippocampus;0.34004576659038904;22.93468988235943
123925;Thalamus;0.6442717645440792;26.476404589747453
123925-PP;Amygdala;0.43202069560218453;14.035668847618199
123925-PP;Hippocampus;0.34004576659038904;22.93468988235943
123925-PP;Thalamus;0.6442717645440792;26.476404589747453
124422;Amygdala;0.4887233322045378;14.45683229480096
124422;Hippocampus;0.3669876203576341;20.73644135332772
124422;Thalamus;0.6739550824254724;30.265491900843113
124422-PP;Amygdala;0.4887233322045378;14.45683229480096
124422-PP;Hippocampus;0.3669876203576341;20.73644135332772
124422-PP;Thalamus;0.6739550824254724;30.265491900843113
